,ID
0,subject-1-label_slice_0000.nii.gz
1,subject-1-label_slice_0001.nii.gz
2,subject-1-label_slice_0002.nii.gz
3,subject-1-label_slice_0003.nii.gz
4,subject-1-label_slice_0004.nii.gz
5,subject-1-label_slice_0005.nii.gz
6,subject-1-label_slice_0006.nii.gz
7,subject-1-label_slice_0007.nii.gz
8,subject-1-label_slice_0008.nii.gz
9,subject-1-label_slice_0009.nii.gz
10,subject-1-label_slice_0010.nii.gz
11,subject-1-label_slice_0011.nii.gz
12,subject-1-label_slice_0012.nii.gz
13,subject-1-label_slice_0013.nii.gz
14,subject-1-label_slice_0014.nii.gz
15,subject-1-label_slice_0015.nii.gz
16,subject-1-label_slice_0016.nii.gz
17,subject-1-label_slice_0017.nii.gz
18,subject-1-label_slice_0018.nii.gz
19,subject-1-label_slice_0019.nii.gz
20,subject-1-label_slice_0020.nii.gz
21,subject-1-label_slice_0021.nii.gz
22,subject-1-label_slice_0022.nii.gz
23,subject-1-label_slice_0023.nii.gz
24,subject-1-label_slice_0024.nii.gz
25,subject-1-label_slice_0025.nii.gz
26,subject-1-label_slice_0026.nii.gz
27,subject-1-label_slice_0027.nii.gz
28,subject-1-label_slice_0028.nii.gz
29,subject-1-label_slice_0029.nii.gz
30,subject-1-label_slice_0030.nii.gz
31,subject-1-label_slice_0031.nii.gz
32,subject-1-label_slice_0032.nii.gz
33,subject-1-label_slice_0033.nii.gz
34,subject-1-label_slice_0034.nii.gz
35,subject-1-label_slice_0035.nii.gz
36,subject-1-label_slice_0036.nii.gz
37,subject-1-label_slice_0037.nii.gz
38,subject-1-label_slice_0038.nii.gz
39,subject-1-label_slice_0039.nii.gz
40,subject-1-label_slice_0040.nii.gz
41,subject-1-label_slice_0041.nii.gz
42,subject-1-label_slice_0042.nii.gz
43,subject-1-label_slice_0043.nii.gz
44,subject-1-label_slice_0044.nii.gz
45,subject-1-label_slice_0045.nii.gz
46,subject-1-label_slice_0046.nii.gz
47,subject-1-label_slice_0047.nii.gz
48,subject-1-label_slice_0048.nii.gz
49,subject-1-label_slice_0049.nii.gz
50,subject-1-label_slice_0050.nii.gz
51,subject-1-label_slice_0051.nii.gz
52,subject-1-label_slice_0052.nii.gz
53,subject-1-label_slice_0053.nii.gz
54,subject-1-label_slice_0054.nii.gz
55,subject-1-label_slice_0055.nii.gz
56,subject-1-label_slice_0056.nii.gz
57,subject-1-label_slice_0057.nii.gz
58,subject-1-label_slice_0058.nii.gz
59,subject-1-label_slice_0059.nii.gz
60,subject-1-label_slice_0060.nii.gz
61,subject-1-label_slice_0061.nii.gz
62,subject-1-label_slice_0062.nii.gz
63,subject-1-label_slice_0063.nii.gz
64,subject-1-label_slice_0064.nii.gz
65,subject-1-label_slice_0065.nii.gz
66,subject-1-label_slice_0066.nii.gz
67,subject-1-label_slice_0067.nii.gz
68,subject-1-label_slice_0068.nii.gz
69,subject-1-label_slice_0069.nii.gz
70,subject-1-label_slice_0070.nii.gz
71,subject-1-label_slice_0071.nii.gz
72,subject-1-label_slice_0072.nii.gz
73,subject-1-label_slice_0073.nii.gz
74,subject-1-label_slice_0074.nii.gz
75,subject-1-label_slice_0075.nii.gz
76,subject-1-label_slice_0076.nii.gz
77,subject-1-label_slice_0077.nii.gz
78,subject-1-label_slice_0078.nii.gz
79,subject-1-label_slice_0079.nii.gz
80,subject-1-label_slice_0080.nii.gz
81,subject-1-label_slice_0081.nii.gz
82,subject-1-label_slice_0082.nii.gz
83,subject-1-label_slice_0083.nii.gz
84,subject-1-label_slice_0084.nii.gz
85,subject-1-label_slice_0085.nii.gz
86,subject-1-label_slice_0086.nii.gz
87,subject-1-label_slice_0087.nii.gz
88,subject-1-label_slice_0088.nii.gz
89,subject-1-label_slice_0089.nii.gz
90,subject-1-label_slice_0090.nii.gz
91,subject-1-label_slice_0091.nii.gz
92,subject-1-label_slice_0092.nii.gz
93,subject-1-label_slice_0093.nii.gz
94,subject-1-label_slice_0094.nii.gz
95,subject-1-label_slice_0095.nii.gz
96,subject-1-label_slice_0096.nii.gz
97,subject-1-label_slice_0097.nii.gz
98,subject-1-label_slice_0098.nii.gz
99,subject-1-label_slice_0099.nii.gz
100,subject-1-label_slice_0100.nii.gz
101,subject-1-label_slice_0101.nii.gz
102,subject-1-label_slice_0102.nii.gz
103,subject-1-label_slice_0103.nii.gz
104,subject-1-label_slice_0104.nii.gz
105,subject-1-label_slice_0105.nii.gz
